ADRCD_NM,ADRCD_CD,LCTN_SC_CODE,SCHUL_CODE,SCHUL_NM,SCHUL_KND_SC_CODE,PBAN_EXCP_YN,SEM_STR,AIR_BACT_STB_YN,AIR_BACT_RSLT_NMVL,AIR_BACT_RSLT_NMVL_2,FALL_BACT_STB_YN,FALL_BACT_RSLT_NMVL,FALL_BACT_RSLT_NMVL_2,MITE_STB_YN,MITE_RSLT_NMVL,MITE_RSLT_NMVL_2,RN_STB_YN,RN_RSLT_NMVL,RN_RSLT_NMVL_2,O3_STB_YN,O3_RSLT_NMVL,O3_RSLT_NMVL_2,ASBESTOS_STB_YN,ASBESTOS_RSLT_NMVL,ASBESTOS_RSLT_NMVL_2
서울특별시 노원구,1135010500.0,1,S010001719,온곡중학교,3,N,하반기,적합,313.0,,적합,0.0,,적합,20.0,,적합,42.0,,적합,0.03,,적합,0.01,
서울특별시 노원구,1135010200.0,1,S010001720,월계중학교,3,N,상반기,적합,623.0,,적합,2.0,,적합,20.0,,적합,22.0,,적합,0.03,,적합,0.01,
서울특별시 노원구,1135010200.0,1,S010001720,월계중학교,3,N,하반기,적합,202.0,,적합,2.0,,적합,20.0,,적합,22.0,,적합,0.03,,적합,0.01,
서울특별시 노원구,1135010600.0,1,S010001723,중계중학교,3,N,상반기,적합,229.0,291.0,해당없음,,,적합,20.0,,적합,13.0,,적합,0.02,0.02,해당없음,,
서울특별시 노원구,1135010600.0,1,S010001723,중계중학교,3,N,하반기,적합,110.0,,적합,2.0,,적합,20.0,,적합,33.0,,적합,0.02,,해당없음,,
서울특별시 노원구,1135010600.0,1,S010001724,중원중학교,3,N,상반기,적합,153.0,96.0,해당없음,,,적합,20.0,,적합,22.0,,적합,0.04,0.03,적합,0.01,
서울특별시 노원구,1135010600.0,1,S010001724,중원중학교,3,N,하반기,적합,70.0,,해당없음,,,적합,20.0,,적합,32.0,,적합,0.02,,적합,0.0,
서울특별시 노원구,1135010400.0,1,S010001725,중평중학교,3,N,상반기,적합,88.0,,해당없음,,,적합,20.0,,적합,38.0,,적합,0.02,,적합,0.01,
서울특별시 노원구,1135010400.0,1,S010001725,중평중학교,3,N,하반기,적합,201.0,,적합,0.0,,적합,19.0,,적합,38.0,,적합,0.02,,적합,0.0,
서울특별시 도봉구,1132010600.0,1,S010001726,창동중학교,3,N,상반기,적합,264.0,264.0,적합,0.0,0.0,적합,20.0,20.0,적합,28.0,28.0,적합,0.035,0.035,적합,0.01,0.01
