SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2022,,예산세입,380744000,2000,2616000,,공립,서울특별시 서초구,초,,
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2022,0.0,예산세출,19054000,43850000,45212000,1380217.5,공립,서울특별시 서초구,초,,
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2023,,예산세입,519084000,0,3362000,,공립,서울특별시 서초구,초,,
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2023,80000000.0,예산세출,25600000,93035000,67463000,2185821.4,공립,서울특별시 서초구,초,,
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2024,,예산세입,514884000,164050000,3300000,,공립,서울특별시 서초구,초,,
S010000778,1994,0.3626351424067018,A,서울우암초등학교,2024,0.0,예산세출,16750000,105535000,55578000,3210609.1,공립,서울특별시 서초구,초,,
S010000779,1989,0.45211822481522,B,서울원명초등학교,2022,,예산세입,600582000,0,10200000,,공립,서울특별시 서초구,초,0.0,0.0
S010000779,1989,0.45211822481522,B,서울원명초등학교,2022,0.0,예산세출,11835000,124390000,100985000,520537.8,공립,서울특별시 서초구,초,0.0,0.0
S010000779,1989,0.45211822481522,B,서울원명초등학교,2023,,예산세입,642258000,0,10400000,,공립,서울특별시 서초구,초,0.0,0.0
S010000779,1989,0.45211822481522,B,서울원명초등학교,2023,0.0,예산세출,14000000,135770000,95913000,583708.9,공립,서울특별시 서초구,초,0.0,0.0
S010000779,1989,0.45211822481522,B,서울원명초등학교,2024,,예산세입,749990000,0,25000000,,공립,서울특별시 서초구,초,20046000.0,0.0
S010000779,1989,0.45211822481522,B,서울원명초등학교,2024,0.0,예산세출,18090000,165652000,67547000,680026.2,공립,서울특별시 서초구,초,20046000.0,0.0
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2022,,예산세입,599267000,11194000,26500000,,공립,서울특별시 서초구,초,0.0,0.0
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2022,0.0,예산세출,15475000,136933000,105904000,586049.1,공립,서울특별시 서초구,초,0.0,0.0
S010000780,1979,0.597658588520268,D,서울원촌초등학교,2023,,예산세입,640435000,11800000,11380000,,공립,서울특별시 서초구,초,0.0,114050.0
