SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2023,0.0,예산세출,14833000,124767000,68708000,1052313.4,공립,서울특별시 강남구,초,0.0,823200.0
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2024,,예산세입,589406000,441054000,5600000,,공립,서울특별시 강남구,초,0.0,200000.0
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2024,0.0,예산세출,19874000,170394000,75157000,2162674.9,공립,서울특별시 강남구,초,0.0,200000.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2022,,예산세입,633546000,0,4325000,,공립,서울특별시 서초구,초,0.0,0.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2022,0.0,예산세출,16670000,121770000,76503000,479512.7,공립,서울특별시 서초구,초,0.0,0.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2023,,예산세입,679066000,0,8700000,,공립,서울특별시 서초구,초,0.0,0.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2023,0.0,예산세출,23200000,155816000,83076000,529368.7,공립,서울특별시 서초구,초,0.0,0.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2024,,예산세입,789826000,0,16200000,,공립,서울특별시 서초구,초,23058000.0,0.0
S010000760,1983,0.4904522508374441,B,서울서래초등학교,2024,0.0,예산세출,26350000,188416000,75296000,658188.0,공립,서울특별시 서초구,초,23058000.0,0.0
S010000761,1984,0.38066157607196,A,서울서원초등학교,2022,,예산세입,693663000,0,8711000,,공립,서울특별시 서초구,,54400000.0,0.0
S010000761,1984,0.38066157607196,A,서울서원초등학교,2022,0.0,예산세출,14618000,152566000,123522000,465723.8,공립,서울특별시 서초구,,54400000.0,0.0
S010000761,1984,0.38066157607196,A,서울서원초등학교,2023,,예산세입,722384000,0,14900000,,공립,서울특별시 서초구,,3600000.0,0.0
S010000761,1984,0.38066157607196,A,서울서원초등학교,2023,0.0,예산세출,39420000,191359000,90568000,507788.5,공립,서울특별시 서초구,,3600000.0,0.0
S010000761,1984,0.38066157607196,A,서울서원초등학교,2024,,예산세입,896532000,40000000,19900000,,공립,서울특별시 서초구,,,
S010000761,1984,0.38066157607196,A,서울서원초등학교,2024,0.0,예산세출,45350000,222482000,81659000,612426.1,공립,서울특별시 서초구,,,
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2022,,예산세입,622070000,0,3820000,,공립,서울특별시 서초구,초,0.0,0.0
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2022,0.0,예산세출,17009000,124027000,120726000,472650.3,공립,서울특별시 서초구,초,0.0,0.0
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2023,,예산세입,696760000,0,6754000,,공립,서울특별시 서초구,초,0.0,0.0
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2023,0.0,예산세출,18420000,154750000,86231000,512290.5,공립,서울특별시 서초구,초,0.0,0.0
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2024,,예산세입,814549000,218032000,8110000,,공립,서울특별시 서초구,초,,
S010000762,1983,0.5594501858171005,D,서울서이초등학교,2024,0.0,예산세출,28718000,221024000,90960000,855136.1,공립,서울특별시 서초구,초,,
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2022,,예산세입,435685000,0,2300000,,공립,서울특별시 서초구,,0.0,0.0
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2022,0.0,예산세출,11450000,82431000,60894000,821140.5,공립,서울특별시 서초구,,0.0,0.0
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2023,,예산세입,490475000,0,3300000,,공립,서울특별시 서초구,,0.0,0.0
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2023,10000000.0,예산세출,16725000,105292000,58530000,1012198.8,공립,서울특별시 서초구,,0.0,0.0
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2024,,예산세입,574531000,272750000,8700000,,공립,서울특별시 서초구,,0.0,0.0
S010000763,1986,0.5695689403876879,D,서울서일초등학교,2024,7247000.0,예산세출,19948000,129982000,65529000,1851027.8,공립,서울특별시 서초구,,0.0,0.0
S010000764,1980,0.3769938566391993,A,서울서초초등학교,2022,,예산세입,539189000,0,10012000,,공립,서울특별시 서초구,초,0.0,0.0
