SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울강일초등학교,서울특별시 강동구,2,하반기,553.0,1.0,0.0,47.5,0.01,0.003964597478176527
서울거여초등학교,서울특별시 송파구,2,상반기,300.0,1.603230313293819,20.0,33.0,0.013,0.003964597478176527
서울거여초등학교,서울특별시 송파구,2,하반기,300.0,1.603230313293819,20.0,33.0,0.01,0.003964597478176527
서울거원초등학교,서울특별시 송파구,2,상반기,536.0,6.0,20.0,45.43074929577464,0.008,0.003964597478176527
서울거원초등학교,서울특별시 송파구,2,하반기,536.0,6.0,20.0,45.43074929577464,0.0,0.003964597478176527
서울고덕초등학교,서울특별시 강동구,2,상반기,196.0,1.0,10.0,31.7,0.0135,0.0
서울고덕초등학교,서울특별시 강동구,2,하반기,231.0,3.0,20.0,35.8,0.01,0.0
서울고명초등학교,서울특별시 강동구,2,상반기,285.0,1.603230313293819,0.2,25.5,0.014,0.003964597478176527
서울고명초등학교,서울특별시 강동구,2,하반기,744.0,2.0,20.0,25.5,0.02,0.003964597478176527
서울고일초등학교,서울특별시 강동구,2,상반기,609.5,2.5,20.0,37.2,0.013999999999999999,0.003964597478176527
서울고일초등학교,서울특별시 강동구,2,하반기,312.0,7.0,20.0,27.5,0.03,0.003964597478176527
서울길동초등학교,서울특별시 강동구,2,상반기,497.5,5.0,20.0,45.43074929577464,0.0135,0.0
서울길동초등학교,서울특별시 강동구,2,하반기,82.0,2.0,20.0,131.6,0.0,0.0
서울남천초등학교,서울특별시 송파구,2,상반기,628.0,1.0,20.0,22.6,0.015,0.003964597478176527
서울남천초등학교,서울특별시 송파구,2,하반기,503.0,1.603230313293819,17.980964673913046,45.43074929577464,0.01,0.003964597478176527
서울대명초등학교,서울특별시 강동구,2,상반기,485.0,2.0,20.0,22.2,0.014499999999999999,0.0
서울대명초등학교,서울특별시 강동구,2,하반기,793.0,1.603230313293819,20.0,45.43074929577464,0.01,0.0
서울마천초등학교,서울특별시 송파구,2,상반기,776.0,2.0,20.0,8.7,0.014,0.0
서울마천초등학교,서울특별시 송파구,2,하반기,721.5,1.5,20.0,87.1,0.01,0.0
서울명덕초등학교,서울특별시 강동구,2,상반기,163.0,4.0,20.0,90.6,0.0075,0.003964597478176527
서울명덕초등학교,서울특별시 강동구,2,하반기,510.0,5.0,10.0,12.8,0.0,0.0
서울명원초등학교,서울특별시 강동구,2,상반기,722.0,1.603230313293819,20.0,3.8,0.022,0.0
서울명원초등학교,서울특별시 강동구,2,하반기,732.0,1.603230313293819,20.0,3.8,0.02,0.003964597478176527
서울명일초등학교,서울특별시 강동구,2,상반기,530.5,1.0,20.0,11.7,0.016,0.003964597478176527
서울명일초등학교,서울특별시 강동구,2,하반기,536.0,2.0,10.0,16.6,0.01,0.003964597478176527
서울묘곡초등학교,서울특별시 강동구,2,상반기,494.5,1.603230313293819,20.0,11.1,0.009999999999999998,0.003964597478176527
서울묘곡초등학교,서울특별시 강동구,2,하반기,770.0,1.603230313293819,20.0,36.9,0.01,0.003964597478176527
서울문덕초등학교,서울특별시 송파구,2,상반기,433.0,5.0,20.0,30.4,0.025,0.003964597478176527
서울문덕초등학교,서울특별시 송파구,2,하반기,418.0,2.0,20.0,33.2,0.01,0.0
서울문정초등학교,서울특별시 송파구,2,상반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울문정초등학교,서울특별시 송파구,2,하반기,800.0,10.0,100.0,148.0,0.06,0.01
서울방산초등학교,서울특별시 송파구,2,상반기,356.0,1.603230313293819,20.0,71.9,0.015,0.0
서울방산초등학교,서울특별시 송파구,2,하반기,385.0,1.603230313293819,20.0,22.5,0.01,0.0
서울방이초등학교,서울특별시 송파구,2,상반기,470.0,1.603230313293819,20.0,32.0,0.015,0.0
서울방이초등학교,서울특별시 송파구,2,하반기,321.0,1.603230313293819,20.0,13.3,0.0,0.0
서울삼전초등학교,서울특별시 송파구,2,상반기,494.0,4.0,20.0,7.3,0.012,0.003964597478176527
서울삼전초등학교,서울특별시 송파구,2,하반기,567.0,3.0,0.2,19.9,0.01,0.003964597478176527
