설립구분,학교급코드,지역,교육지원청,시도교육청,교육지원청코드,제외여부,예결산구분,세입세출구분,기타/학교일반운영,행정활동수입/교육활동지원,지원금수입/선택적교육활동,학부모부담수입/기본적교육활동,기타이전수입/학생복지_교육격차해소,정보공시 학교코드,정부이전수입/인적자원운용,시도교육청코드,소재지구분코드,분교여부,학교명,학교과정구분명(초-중-고),학교과정구분값(2-3-4),제외사유,연도,학교급코드,예산구분,학교재무활동,학교시설확충,1인당 예산,고등학교 계열 구분명
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,18000000,19000000,0,0,0,S010000943,611865000,B100000001,1,N,서울잠실초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,18000000,22010000,0,0,10000000,S010000944,685927000,B100000001,1,N,서울잠일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,18000000,3400000,0,140824000,0,S010000945,485335000,B100000001,1,N,서울잠전초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,6960000,0,0,0,S010000946,600032000,B100000001,1,N,서울중대초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,22000000,2500000,0,0,0,S010000947,583732000,B100000001,1,N,서울천동초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,4700000,0,0,0,S010000948,488986000,B100000001,1,N,서울천일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,30000000,0,0,0,0,S010000949,592768000,B100000001,1,N,서울천호초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,4010000,0,0,0,S010000950,541586000,B100000001,1,N,서울토성초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15451000,1621000,0,0,5000000,S010000951,359840000,B100000001,1,N,서울평화초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,35952000,0,45178000,0,S010000952,459765000,B100000001,1,N,서울풍납초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,14000000,5000000,0,78007000,0,S010000953,419672000,B100000001,1,N,서울풍성초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,10000000,2800000,0,7150000,0,S010000954,519416000,B100000001,1,N,서울한산초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강서구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,16000000,4382000,0,28780000,0,S010001004,504429000,B100000001,1,N,서울가곡초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강서구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,15200000,5710000,0,172760000,0,S010001005,444529000,B100000001,1,N,서울가양초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 양천구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,10000000,3700000,0,0,0,S010001006,556384000,B100000001,1,N,서울갈산초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 양천구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,15000000,3400000,0,850161000,0,S010001007,735419000,B100000001,1,N,서울강서초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 양천구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,15000000,3600000,0,0,0,S010001008,545416000,B100000001,1,N,서울강신초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 양천구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,15000000,5700000,0,54380000,0,S010001009,579918000,B100000001,1,N,서울강월초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강서구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,15000000,2500000,0,6508000,0,S010001010,362277000,B100000001,1,N,서울개화초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 양천구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,N,복식부기,예산세입,31000000,6210000,0,109292000,16784000,S010001011,570005000,B100000001,1,N,서울경인초등학교,초,2,,2022,2,세입,,,,
